,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
206698,26.09,34.18,97906.83,0.33,0.84,0.08,28.83,4.62,08/02/2024,16:46:13,43.314103,11.339037,299.2
206699,25.78,34.93,97865.23,0.26,0.81,0.08,28.37,4.68,08/02/2024,16:46:18,43.314103,11.339037,299.2
206700,25.48,35.67,97823.53,0.2,0.77,0.08,27.92,4.76,08/02/2024,16:46:23,43.314103,11.339037,299.2
206701,25.18,36.4,97782.13,0.14,0.73,0.08,27.47,4.85,08/02/2024,16:46:28,43.314103,11.339037,299.2
206702,24.88,37.12,97739.8,0.09,0.7,0.08,27.03,4.94,08/02/2024,16:46:33,43.314103,11.339037,299.2
206703,24.58,37.82,97697.7,0.04,0.66,0.08,26.6,4.99,08/02/2024,16:46:38,43.314103,11.339037,299.2
206704,24.28,38.52,97655.68,-0.01,0.64,0.08,26.17,5.0,08/02/2024,16:46:43,43.314103,11.339037,299.2
206705,23.99,39.2,97613.97,-0.04,0.61,0.08,25.75,5.05,08/02/2024,16:46:48,43.314103,11.339037,299.2
206706,23.7,39.87,97572.51,-0.07,0.58,0.07,25.34,5.11,08/02/2024,16:46:53,43.314103,11.339037,299.2
206707,23.41,40.54,97530.61,-0.09,0.55,0.07,24.94,5.16,08/02/2024,16:46:58,43.314103,11.339037,299.2
206708,23.43,40.41,97530.77,-0.04,0.57,0.07,25.01,5.15,08/02/2024,16:47:03,43.314103,11.339037,299.2
206709,23.45,40.3,97530.56,-0.01,0.57,0.07,25.08,5.14,08/02/2024,16:47:08,43.314103,11.339037,299.2
206710,23.47,40.2,97530.56,0.01,0.59,0.07,25.14,5.09,08/02/2024,16:47:13,43.314103,11.339037,299.2
206711,23.49,40.1,97530.34,0.04,0.6,0.07,25.21,5.02,08/02/2024,16:47:18,43.314103,11.339037,299.2
206712,23.51,40.0,97530.97,0.05,0.61,0.07,25.27,4.94,08/02/2024,16:47:23,43.314103,11.339037,299.2
206713,23.53,39.93,97530.25,0.06,0.63,0.07,25.33,4.86,08/02/2024,16:47:28,43.314103,11.339037,299.2
206714,23.56,39.82,97530.78,0.07,0.64,0.07,25.4,4.78,08/02/2024,16:47:33,43.314103,11.339037,299.2
206715,23.58,39.73,97531.07,0.09,0.65,0.07,25.46,4.86,08/02/2024,16:47:38,43.314103,11.339037,299.2
206716,23.6,39.66,97530.63,0.11,0.66,0.07,25.52,5.09,08/02/2024,16:47:43,43.314103,11.339037,299.2
206717,23.63,39.56,97530.52,0.12,0.67,0.07,25.57,5.62,08/02/2024,16:47:48,43.314103,11.339037,299.2
206718,23.66,39.49,97530.25,0.14,0.68,0.07,25.63,6.26,08/02/2024,16:47:53,43.314103,11.339037,299.2
206719,23.69,39.42,97530.05,0.15,0.69,0.07,25.68,6.96,08/02/2024,16:47:58,43.314103,11.339037,299.2
206720,23.71,39.34,97529.96,0.17,0.69,0.07,25.74,7.74,08/02/2024,16:48:03,43.314103,11.339037,299.2
206721,23.74,39.27,97530.3,0.17,0.7,0.07,25.79,8.52,08/02/2024,16:48:08,43.314103,11.339037,299.2
